"date","vaccine_series_completed_percent_population","zip_code"
2021-05-16,0.415,"Non-Protect Chicago Plus"
2021-05-17,0.418,"Non-Protect Chicago Plus"
2021-05-18,0.422,"Non-Protect Chicago Plus"
2021-05-19,0.425,"Non-Protect Chicago Plus"
2021-05-20,0.428,"Non-Protect Chicago Plus"
2021-05-21,0.431,"Non-Protect Chicago Plus"
2021-05-22,0.434,"Non-Protect Chicago Plus"
2021-05-23,0.435,"Non-Protect Chicago Plus"
2021-05-24,0.437,"Non-Protect Chicago Plus"
2021-05-25,0.439,"Non-Protect Chicago Plus"
2021-04-14,0.277,"60601"
2021-03-29,0.18,"60601"
2021-03-18,0.154,"60601"
2021-01-21,0.027,"60601"
2021-04-22,0.338,"60601"
2021-03-27,0.177,"60601"
2020-12-30,0,"60601"
2021-05-03,0.433,"60601"
2020-12-21,0,"60601"
2020-12-17,0,"60601"
2021-05-09,0.477,"60601"
2021-03-09,0.13,"60601"
2021-03-12,0.139,"60601"
2021-03-16,0.15,"60601"
2021-02-01,0.037,"60601"
2021-04-11,0.254,"60601"
2021-02-28,0.106,"60601"
2020-12-29,0,"60601"
2021-05-18,0.54,"60601"
2021-05-11,0.491,"60601"
2020-12-16,0,"60601"
2021-03-23,0.161,"60601"
2021-05-16,0.529,"60601"
2021-04-10,0.249,"60601"
2021-03-05,0.12,"60601"
2021-04-04,0.205,"60601"
2021-04-27,0.38,"60601"
2021-04-12,0.262,"60601"
2021-02-09,0.046,"60601"
2021-03-24,0.163,"60601"
2021-01-22,0.028,"60601"
2021-03-02,0.11,"60601"
2021-04-09,0.243,"60601"
2021-03-26,0.175,"60601"
2021-02-17,0.067,"60601"
2021-02-24,0.089,"60601"
2021-01-08,0.008,"60601"
2021-03-04,0.117,"60601"
2021-01-20,0.026,"60601"
2021-05-08,0.475,"60601"
2021-03-22,0.16,"60601"
2021-01-13,0.02,"60601"
2021-01-25,0.029,"60601"
2021-02-27,0.105,"60601"
2021-04-03,0.203,"60601"
2021-01-12,0.018,"60601"
2021-01-05,0,"60601"
2021-02-26,0.103,"60601"
2021-05-07,0.47,"60601"
2021-01-04,0,"60601"
2020-12-25,0,"60601"
